City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Macquarie,AU,2020-10-28 11:17:06,-31.43,152.92,61.0,99,100,3.94
1,Mount Gambier,AU,2020-10-28 11:17:06,-37.83,140.77,47.26,95,11,3.47
2,Bar Harbor,US,2020-10-28 11:17:06,44.39,-68.2,33.01,59,46,4.61
3,Esperance,AU,2020-10-28 11:16:53,-33.87,121.9,58.51,78,1,12.15
4,Giyani,ZA,2020-10-28 11:17:07,-23.3,30.72,97.0,16,0,11.27
5,Yemtsa,RU,2020-10-28 11:17:07,63.07,40.33,44.91,91,100,14.12
6,Aripuana,BR,2020-10-28 11:17:07,-9.17,-60.63,77.27,79,99,1.3
7,Butaritari,KI,2020-10-28 11:17:07,3.07,172.79,81.5,64,59,2.06
8,Saint-Philippe,RE,2020-10-28 11:17:08,-21.36,55.77,66.99,86,62,1.99
9,Hobart,AU,2020-10-28 11:12:10,-42.88,147.33,50.0,54,31,3.53
10,Avarua,CK,2020-10-28 11:17:08,-21.21,-159.78,71.96,82,97,20.78
11,Hermanus,ZA,2020-10-28 11:17:08,-34.42,19.23,70.0,56,99,8.01
12,Ushuaia,AR,2020-10-28 11:17:09,-54.8,-68.3,35.38,85,48,4.25
13,Busselton,AU,2020-10-28 11:17:09,-33.65,115.33,64.0,38,0,15.35
14,Nuuk,GL,2020-10-28 11:17:09,64.18,-51.72,21.0,73,100,8.01
15,Puerto Madryn,AR,2020-10-28 11:17:09,-42.77,-65.04,59.41,34,56,23.11
16,Georgetown,MY,2020-10-28 11:17:09,5.41,100.34,82.26,75,100,5.1
17,Gillette,US,2020-10-28 11:16:27,44.29,-105.5,36.0,74,49,5.01
18,Qaanaaq,GL,2020-10-28 11:17:10,77.48,-69.36,13.41,83,98,11.68
19,Dunedin,NZ,2020-10-28 11:17:10,-45.87,170.5,52.0,80,65,7.02
20,Victoria,HK,2020-10-28 11:14:15,22.29,114.16,75.0,87,100,1.99
21,Praia,CV,2020-10-28 11:17:11,14.92,-23.51,81.82,69,97,9.73
22,Araouane,ML,2020-10-28 11:17:11,18.9,-3.53,94.53,11,0,12.77
23,Port Hardy,CA,2020-10-28 11:15:03,50.7,-127.42,53.24,94,100,6.51
24,Merauke,ID,2020-10-28 11:17:12,-8.47,140.33,79.05,74,95,5.5
25,Albany,US,2020-10-28 11:15:52,42.6,-73.97,42.01,90,100,3.89
26,Kavaratti,IN,2020-10-28 11:17:12,10.57,72.64,82.42,71,0,6.42
27,Cullera,ES,2020-10-28 11:17:12,39.17,-0.25,71.01,44,17,3.65
28,Mataura,NZ,2020-10-28 11:17:13,-46.19,168.86,46.0,90,80,3.0
29,Hilo,US,2020-10-28 11:17:13,19.73,-155.09,71.01,83,100,1.99
30,Mar Del Plata,AR,2020-10-28 11:17:13,-38.0,-57.56,58.26,79,19,6.58
31,Lagoa,PT,2020-10-28 11:17:13,39.05,-27.98,63.55,67,14,10.96
32,Castro,BR,2020-10-28 11:17:14,-24.79,-50.01,66.0,59,0,5.21
33,Atyrau,KZ,2020-10-28 11:17:14,47.12,51.88,49.78,44,96,11.27
34,Punta Arenas,CL,2020-10-28 11:14:08,-53.15,-70.92,37.0,86,22,23.0
35,Thompson,CA,2020-10-28 11:15:03,55.74,-97.86,8.87,91,2,6.44
36,Cockburn Town,TC,2020-10-28 11:17:15,21.46,-71.14,82.65,77,38,21.09
37,Port Alfred,ZA,2020-10-28 11:17:15,-33.59,26.89,71.1,64,72,15.32
38,Vaini,TO,2020-10-28 11:17:15,-21.2,-175.2,73.27,69,0,20.36
39,Klaksvik,FO,2020-10-28 11:17:15,62.23,-6.59,47.17,86,97,23.64
40,Codrington,AU,2020-10-28 11:17:16,-38.27,141.97,51.48,89,0,3.74
41,Isla Vista,US,2020-10-28 11:12:55,34.41,-119.86,62.22,30,0,2.89
42,Nikolskoye,RU,2020-10-28 11:17:16,59.7,30.79,51.01,82,59,1.01
43,Samarkand,UZ,2020-10-28 11:17:16,39.65,66.96,56.14,32,0,5.53
44,Mahebourg,MU,2020-10-28 11:17:17,-20.41,57.7,79.0,61,62,7.0
45,Caibiran,PH,2020-10-28 11:17:17,11.57,124.58,82.06,78,75,2.62
46,Majene,ID,2020-10-28 11:16:13,-3.54,118.97,81.68,79,91,2.17
47,Hay River,CA,2020-10-28 11:17:18,60.82,-115.8,16.14,94,96,4.68
48,Saldanha,ZA,2020-10-28 11:17:18,-33.01,17.94,63.91,60,100,15.9
49,Comodoro Rivadavia,AR,2020-10-28 11:15:02,-45.87,-67.5,51.08,45,19,29.8
50,Chaibasa,IN,2020-10-28 11:17:18,22.57,85.82,79.09,49,0,5.23
51,Carnarvon,AU,2020-10-28 11:17:18,-24.87,113.63,71.62,71,0,31.36
52,Hithadhoo,MV,2020-10-28 11:17:19,-0.6,73.08,84.13,70,60,13.31
53,Vila Franca Do Campo,PT,2020-10-28 11:17:19,37.72,-25.43,64.15,61,95,0.89
54,Cape Town,ZA,2020-10-28 11:12:32,-33.93,18.42,69.01,55,100,8.99
55,Lompoc,US,2020-10-28 11:15:01,34.64,-120.46,50.0,57,1,12.75
56,Salitrillo,MX,2020-10-28 11:17:20,19.43,-99.85,46.24,62,86,0.6
57,Ranfurly,NZ,2020-10-28 11:17:20,-45.13,170.1,45.0,91,71,2.06
58,Atuona,PF,2020-10-28 11:17:20,-9.8,-139.03,77.52,78,38,19.95
59,Ahipara,NZ,2020-10-28 11:17:20,-35.17,173.17,60.21,89,55,2.37
60,Cabo San Lucas,MX,2020-10-28 11:17:21,22.89,-109.91,71.01,81,1,5.77
61,Saint George,US,2020-10-28 11:13:22,37.1,-113.58,41.0,44,0,3.15
62,Seoul,KR,2020-10-28 11:15:51,37.57,126.98,55.02,37,23,11.48
63,Agadez,NE,2020-10-28 11:17:21,19.75,10.25,86.16,13,0,3.13
64,Chuy,UY,2020-10-28 11:17:22,-33.7,-53.46,64.06,95,97,6.85
65,New Norfolk,AU,2020-10-28 11:17:22,-42.78,147.06,48.99,54,31,1.66
66,Barrow,US,2020-10-28 11:17:22,71.29,-156.79,25.34,91,89,15.64
67,Maxixe,MZ,2020-10-28 11:17:22,-23.86,35.35,83.43,55,40,12.28
68,Alofi,NU,2020-10-28 11:17:23,-19.06,-169.92,74.55,79,45,22.59
69,Rikitea,PF,2020-10-28 11:17:23,-23.12,-134.97,74.62,84,92,17.29
70,Saskylakh,RU,2020-10-28 11:17:23,71.92,114.08,6.94,93,100,14.88
71,Iquique,CL,2020-10-28 11:13:22,-20.22,-70.14,61.54,65,6,3.29
72,Puerto Ayora,EC,2020-10-28 11:17:24,-0.74,-90.35,66.0,98,94,4.0
73,Nampula,MZ,2020-10-28 11:17:24,-15.12,39.27,93.06,26,9,5.95
74,Tiksi,RU,2020-10-28 11:17:24,71.69,128.87,-1.59,90,34,18.14
75,Sorland,NO,2020-10-28 11:17:25,67.67,12.69,45.86,77,99,8.81
76,Namatanai,PG,2020-10-28 11:17:25,-3.67,152.43,80.85,77,70,4.92
77,Manicore,BR,2020-10-28 11:17:25,-5.81,-61.3,76.86,84,100,0.58
78,Iqaluit,CA,2020-10-28 11:16:52,63.75,-68.51,9.93,92,39,2.84
79,Coihaique,CL,2020-10-28 11:17:26,-45.58,-72.07,37.38,81,24,7.78
80,Kilindoni,TZ,2020-10-28 11:17:26,-7.91,39.67,80.37,76,6,12.41
81,Kandava,LV,2020-10-28 11:17:27,57.04,22.77,50.58,78,100,11.39
82,Jamestown,US,2020-10-28 11:16:34,42.1,-79.24,42.01,98,100,4.0
83,Shenavan,AM,2020-10-28 11:17:27,40.05,43.93,73.62,20,100,5.35
84,Kodiak,US,2020-10-28 11:13:18,57.79,-152.41,38.89,75,0,5.26
85,Pundaguitan,PH,2020-10-28 11:17:27,6.37,126.17,79.75,81,100,6.8
86,Nome,US,2020-10-28 11:17:28,64.5,-165.41,24.01,88,81,1.01
87,Cape Canaveral,US,2020-10-28 11:16:51,28.41,-80.6,80.01,88,1,5.82
88,Khalkhal,IR,2020-10-28 11:17:28,37.62,48.53,61.45,32,72,5.03
89,Richards Bay,ZA,2020-10-28 11:17:29,-28.78,32.04,94.69,38,3,18.16
90,Wao,PH,2020-10-28 11:17:29,7.68,124.68,64.62,100,100,1.41
91,Norman Wells,CA,2020-10-28 11:17:29,65.28,-126.83,12.2,85,90,2.24
92,Valentin Gomez Farias,MX,2020-10-28 11:17:29,28.22,-106.58,33.01,72,0,3.0
93,Muncar,ID,2020-10-28 11:13:33,-8.43,114.33,79.02,84,81,5.46
94,Torbay,CA,2020-10-28 11:17:30,47.67,-52.73,39.0,92,100,18.16
95,Baykit,RU,2020-10-28 11:17:30,61.67,96.37,20.37,94,100,14.63
96,Bengkulu,ID,2020-10-28 11:13:36,-3.8,102.27,79.12,81,91,2.82
97,Kapaa,US,2020-10-28 11:17:31,22.08,-159.32,77.13,71,22,3.8
98,Puerto Del Rosario,ES,2020-10-28 11:17:31,28.5,-13.86,69.19,64,96,15.17
99,Lebu,CL,2020-10-28 11:17:31,-37.62,-73.65,49.8,84,27,7.9
100,Ilulissat,GL,2020-10-28 11:17:31,69.22,-51.1,5.11,86,10,4.09
101,Aden,YE,2020-10-28 11:17:32,12.78,45.04,84.06,58,0,13.6
102,Fairbanks,US,2020-10-28 11:17:32,64.84,-147.72,26.01,94,100,4.54
103,Natal,BR,2020-10-28 11:15:02,-5.79,-35.21,81.37,67,32,11.79
104,Bredasdorp,ZA,2020-10-28 11:17:32,-34.53,20.04,70.0,56,85,8.01
105,Quatre Cocos,MU,2020-10-28 11:17:33,-20.21,57.76,79.0,61,49,7.0
106,Midlothian,US,2020-10-28 11:17:33,32.48,-96.99,39.99,54,69,1.01
107,Huanren,CN,2020-10-28 11:17:33,41.26,125.37,36.5,70,0,3.13
108,Mizdah,LY,2020-10-28 11:17:33,31.45,12.98,68.11,39,1,3.8
109,Mehamn,NO,2020-10-28 11:17:34,71.04,27.85,39.94,86,53,9.01
110,Moerai,PF,2020-10-28 11:17:34,-22.43,-151.33,74.39,89,100,6.22
111,Limbang,MY,2020-10-28 11:17:34,4.75,115.0,78.4,90,100,1.9
112,Tuktoyaktuk,CA,2020-10-28 11:17:35,69.45,-133.04,12.04,96,95,11.5
113,Soe,ID,2020-10-28 11:17:35,-9.86,124.28,70.54,94,100,4.81
114,Lasa,IT,2020-10-28 11:17:35,46.62,10.7,52.0,63,86,1.21
115,Yellowknife,CA,2020-10-28 11:17:35,62.46,-114.35,17.01,78,72,5.01
116,Constitucion,CL,2020-10-28 11:17:05,-35.33,-72.42,49.87,73,0,4.45
117,Mata,PT,2020-10-28 11:17:36,40.68,-7.46,60.01,85,95,5.99
118,Katsuura,JP,2020-10-28 11:17:36,35.13,140.3,66.0,72,61,8.01
119,Zhangye,CN,2020-10-28 11:17:36,38.93,100.45,49.19,44,0,4.0
120,Pitimbu,BR,2020-10-28 11:14:25,-7.47,-34.81,79.75,71,63,11.05
121,Airai,TL,2020-10-28 11:17:36,-8.93,125.41,63.39,100,82,2.19
122,Hasaki,JP,2020-10-28 11:13:09,35.73,140.83,67.66,61,99,11.3
123,Rudsar,IR,2020-10-28 11:17:37,37.14,50.29,69.58,61,51,6.62
124,Provideniya,RU,2020-10-28 11:17:37,64.38,-173.3,26.8,91,83,6.4
125,Yinchuan,CN,2020-10-28 11:17:37,38.47,106.27,51.73,37,72,6.24
126,Khatanga,RU,2020-10-28 11:17:38,71.97,102.5,-4.32,91,8,5.37
127,Cidreira,BR,2020-10-28 11:17:38,-30.18,-50.21,65.01,81,87,17.13
128,La Ronge,CA,2020-10-28 11:17:38,55.1,-105.28,22.48,96,99,6.91
129,Nanortalik,GL,2020-10-28 11:17:38,60.14,-45.24,30.36,92,100,0.49
130,Buchanan,LR,2020-10-28 11:17:38,5.88,-10.05,84.96,68,4,4.09
131,Sisimiut,GL,2020-10-28 11:17:39,66.94,-53.67,17.13,89,68,10.2
132,Mapiripan,CO,2020-10-28 11:16:06,2.89,-72.13,73.6,95,100,3.4
133,Ballina,AU,2020-10-28 11:17:39,-28.87,153.57,64.99,94,99,10.07
134,Bathsheba,BB,2020-10-28 11:17:39,13.22,-59.52,82.11,79,95,20.36
135,Severo-Kurilsk,RU,2020-10-28 11:17:40,50.68,156.12,41.81,84,3,5.06
136,Te Anau,NZ,2020-10-28 11:17:40,-45.42,167.72,46.67,88,71,2.57
137,Mecca,SA,2020-10-28 11:17:40,21.43,39.83,97.3,15,0,8.14
